order,family,species,mass,bmr
Artiodactyla,Antilocapridae,Antilocapra americana,34779.3,50.973
Artiodactyla,Bovidae,Bos taurus,347000,306.77
Artiodactyla,Bovidae,Cephalophus monticola,4200,10.075
Artiodactyla,Bovidae,Connochaetes taurinus,196500,230.073
Artiodactyla,Bovidae,Kobus ellipsiprymnus,100000,148.949
Artiodactyla,Bovidae,Madoqua kirkii,4290,11.966
Artiodactyla,Bovidae,Oreamnos americanus,32000,46.414
Artiodactyla,Bovidae,Ovis canadensis,67030.8,114.674
Artiodactyla,Bovidae,Raphicerus campestris,9600,20.619
Artiodactyla,Bovidae,Taurotragus oryx,141403.7,190.209
Artiodactyla,Camelidae,Camelus dromedarius,407000,224.779
Artiodactyla,Camelidae,Lama glama,115000,148.94
Artiodactyla,Canidae,Cervus elaphus,67000,112.43
Artiodactyla,Cervidae,Alces alces,325000,286.847
Artiodactyla,Cervidae,Capreolus capreolus,21500,46.347
Artiodactyla,Cervidae,Odocoileus virginianus,61862.5,123.447
Artiodactyla,Cervidae,Rangifer tarandus,85000,119.66
Artiodactyla,Suidae,Sus scrofa,135000,104.15
Artiodactyla,Tayassuidae,Pecari tajacu,20500,33.165
Artiodactyla,Tragulidae,Tragulus javanicus,1615.5,4.883
Carnivora,Canidae,Alopex lagopus,3600,7.665
Carnivora,Canidae,Canis latrans,10148.9,19.423
Carnivora,Canidae,Canis mesomelas,7720,21.533
Carnivora,Canidae,Cerdocyon thous,5444,8.502
Carnivora,Canidae,Lycaon pictus,8750,33.01
Carnivora,Canidae,Vulpes velox,1769,4.948
Carnivora,Canidae,Vulpes vulpes,4580.3,13.731
Carnivora,Canidae,Vulpes zerda,1159.2,2.693
Carnivora,Felidae,Acinonyx jubatus,38446.1,61.77
Carnivora,Felidae,Felis concolor,37200,49.326
Carnivora,Felidae,Herpailurus yaguarondi,8400,9.69
Carnivora,Felidae,Leopardus pardalis,10500,17.439
Carnivora,Felidae,Leopardus wiedii,3600,5.227
Carnivora,Felidae,Leptailurus serval,1012,1.44
Carnivora,Felidae,Lynx rufus,9400,23.542
Carnivora,Felidae,Panthera leo,98000,94.58
Carnivora,Felidae,Panthera onca,50400,62.419
Carnivora,Felidae,Panthera tigris,137900,133.859
Carnivora,Herpestidae,Galerella sanguinea,519.6,2.202
Carnivora,Herpestidae,Herpestes javanicus,611,2.248
