id,name,area,pop,fa_area,st_area,st_length,st_width,bl_area
14,Athenae,225,58114,25967,NA,NA,NA,NA
19,Cassope,18,1989,NA,27335,4522,7,9996
26,Corinthia,241,63700,15905,NA,NA,NA,NA
110,Alexandria,972,410535,75000,1072216,58399,21,509
172,Carthago,343,102170,15000,NA,NA,NA,NA
194,Sabratha,35,4837,2148,26676,4057,7,2548
198,Sufetula,46,7037,1265,31819,3922,9,11828
207,Thuburbo Maius,25,3085,1380,NA,NA,NA,NA
210,Thugga,25,3085,792,NA,NA,NA,NA
211,Lindum,175,6034,NA,80869,9995,9,7768
223,Augusta Taurinorum,54,8633,NA,75709,10052,8,8992
225,Augusta Praetoria,41,5975,4889,72451,7379,11,8404
226,Forum Claudii,22,2655,2134,27576,2042,15,9758
248,Alabanda,69,11979,7179,NA,NA,NA,NA
254,Aphrodisias,84,15580,14978,135308,21634,7,3507
276,Ephesus,263,71587,21090,NA,NA,NA,NA
284,Hierapolis,77,13870,NA,58651,12073,6,4141
287,Iasus,34,4653,4376,NA,NA,NA,NA
288,Ilium,25,3085,NA,43265,6819,7,9742
298,Miletus,97,18882,29024,132666,22748,7,3751
303,Nysa,44,6567,9143,29863,5186,6,28005
305,Pergamum,219,56053,22845,NA,NA,NA,NA
315,Smyrna,194,47672,20000,NA,NA,NA,NA
329,Baelo,11,1030,1046,NA,NA,NA,NA
336,Corduba,99,19404,NA,146177,21517,8,6133
343,Iluro,10,907,NA,22497,3215,8,2135
347,Italica,49,7582,NA,83545,10204,9,4371
378,Nicaea,114,23429,NA,111157,11847,9,17310
385,Calleva,45,6767,1807,50114,7888,7,12858
386,Camulodunum,48,7376,NA,61880,6704,9,14787
387,Corinium,93,17849,7483,103162,7985,14,27766
392,Durovernum,59,9718,NA,51509,6470,8,62503
394,Glevum,52,8209,1829,NA,NA,NA,NA
395,Isca,37,5210,2094,32926,6056,6,8870
398,Lindum,41,6034,1331,NA,NA,NA,NA
399,Londinium,160,36851,9702,162663,13291,13,56509
404,Ratae,46,6969,NA,40485,3905,9,36871
405,Venta Belgarum,58,9498,2365,60002,8935,8,17254
407,Venta Silurum,18,1989,1016,22724,2887,9,12058
408,Verulamium,90,17084,5941,79307,9309,10,25437
409,Viroconium,82,15086,3759,NA,NA,NA,NA
429,Anazarbus,150,33807,NA,160090,12626,13,11235
500,Sarmizegetusa,32,4291,1187,NA,NA,NA,NA
525,Doclea,25,3104,2571,NA,NA,NA,NA
560,Anderitum,35,4837,NA,42022,7314,6,5406
567,Burdigala,86,16187,NA,75752,12166,7,24233
571,Lugdunum Convenarum,49,7582,3296,31276,6225,5,17720
576,Vesunna,48,4327,1259,NA,NA,NA,NA
580,Augusta Ambianorum,165,38476,NA,277294,23782,13,25210
