height,weight,earn,earnk,ethnicity,education,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,sex
74,210,50000,50,White,16,16,16,3,3,no,0,0,45,male
66,125,60000,60,White,16,16,16,6,5,yes,0,0,58,female
64,126,30000,30,White,16,16,16,8,1,no,1,1,29,female
65,200,25000,25,White,17,17,NA,8,1,no,0,0,57,female
63,110,50000,50,Other,16,16,16,5,6,no,0,0,91,female
68,165,62000,62,Black,18,18,18,1,1,no,2,2,54,female
63,190,51000,51,White,17,17,17,3,1,no,4,4,39,female
64,125,9000,9,White,15,15,15,7,4,yes,4,4,26,female
62,200,29000,29,White,12,12,12,2,2,no,0,0,49,female
73,230,32000,32,White,17,17,17,7,1,yes,0,0,46,male
72,176,2000,2,Hispanic,15,15,15,8,1,no,0,0,21,male
72,265,35000,35,White,NA,NA,NA,1,1,no,0,0,53,male
72,160,27000,27,White,12,12,12,1,2,no,1,1,26,male
70,225,6530,6.53,White,16,16,NA,4,1,no,0,0,65,male
63,107,0,0,White,14,14,14,7,4,no,2,2,50,female
68,170,30000,30,White,11,NA,NA,7,4,no,0,0,34,male
68,144,12000,12,White,12,12,12,6,5,no,2,2,27,male
71,193,15000,15,White,18,18,18,4,6,no,0,0,51,male
65,250,12000,12,White,12,12,12,5,1,no,1,1,51,female
66,130,20000,20,White,11,11,11,8,1,yes,0,0,45,female
60,100,0,0,White,12,12,12,4,2,yes,7,7,27,female
65,123,25000,25,White,12,12,12,1,4,yes,0,0,41,female
66,130,22000,22,White,16,16,16,5,1,no,1,1,35,female
65,120,25000,25,White,16,16,16,5,4,no,1,1,29,female
71,160,20000,20,White,14,14,14,7,4,no,0,0,22,male
68,172,17000,17,White,12,12,12,8,1,no,0,0,58,male
68,135,40000,40,White,14,14,14,8,7,no,1,1,29,female
70,180,44000,44,White,13,13,13,8,2,no,4,4,44,male
67,112,0,0,White,9,9,9,1,1,yes,0,0,21,female
64,240,7000,7,Black,12,12,12,8,1,no,4,4,55,female
73,190,53000,53,Black,13,13,13,6,7,no,2,2,35,male
64,145,5000,5,Black,12,NA,NA,3,1,yes,7,7,23,female
62,120,5000,5,White,13,13,13,2,1,yes,0,0,51,female
63,114,14000,14,White,14,14,14,5,3,no,0,0,21,female
69,170,45000,45,White,14,14,14,8,7,no,1,1,36,male
67,166,5500,5.5,White,14,14,14,6,7,no,0,0,22,male
66,124,40000,40,White,12,12,12,4,4,no,0,0,41,female
72,175,34000,34,White,12,12,NA,2,1,no,0,0,45,male
63,120,5000,5,Black,12,12,12,4,1,yes,7,7,23,female
63,184,10000,10,Black,12,12,12,8,3,no,3,3,35,female
68,150,0,0,White,11,11,NA,2,7,yes,1,1,21,male
64,150,27000,27,White,16,16,16,2,1,yes,0,0,60,female
73,220,62000,62,White,14,14,NA,8,1,no,2,2,44,male
67,220,15000,15,White,12,12,12,1,1,no,0,0,69,female
60,NA,0,0,White,12,12,12,8,1,no,0,0,44,female
72,180,50000,50,White,16,16,16,5,6,no,1,1,38,male
68,158,0,0,White,12,NA,NA,3,1,no,0,0,55,female
77,255,41000,41,White,16,16,16,7,7,no,0,0,33,male
64,150,0,0,White,10,10,10,8,1,no,0,0,19,female
64,130,15000,15,White,14,14,14,4,1,no,3,3,25,female
64,NA,25000,25,White,12,12,12,1,5,no,7,7,33,female
63,146,25000,25,White,16,16,16,5,1,no,1,1,72,female
72,185,75000,75,White,17,17,17,8,5,no,4,4,39,male
68,180,27000,27,White,17,17,17,5,2,no,0,0,31,male
64,135,12000,12,White,12,12,12,8,1,no,7,7,26,female
70,168,40000,40,White,12,12,12,7,3,no,0,0,51,male
61,138,7500,7.5,White,14,14,14,8,1,yes,0,0,78,female
65,115,25000,25,White,12,12,12,7,2,yes,0,0,46,female
67,135,30000,30,Black,14,14,14,8,6,no,7,7,31,female
65,150,21000,21,White,12,12,12,8,1,yes,0,0,57,female
64,120,27000,27,White,14,14,14,5,1,no,0,0,26,female
73,165,45000,45,White,16,16,16,7,2,yes,0,0,44,male
67,130,3000,3,White,15,15,15,1,1,no,1,1,65,female
65,170,25000,25,White,12,12,12,8,7,no,2,2,30,female
65,140,24000,24,White,12,12,12,1,7,no,1,1,41,female
67,145,32000,32,White,18,18,18,4,5,yes,1,1,29,female
68,145,10000,10,White,17,17,17,7,2,no,1,1,30,female
70,150,0,0,White,12,12,12,5,1,no,0,0,57,female
60,100,11000,11,Hispanic,12,12,12,2,1,no,0,0,21,female
65,105,18700,18.7,White,13,13,13,5,6,no,0,0,32,female
62,120,20000,20,White,12,12,12,2,1,yes,7,7,29,female
72,160,3500,3.5,White,10,10,10,4,7,no,0,0,18,male
67,206,13000,13,Black,8,8,8,8,1,no,5,5,56,male
70,170,25000,25,White,12,12,12,1,1,no,0,0,65,male
70,183,21000,21,White,17,17,17,5,5,no,0,0,41,male
68,150,34000,34,White,17,17,17,5,5,no,2,2,49,female
66,115,5000,5,Black,12,12,12,7,4,no,1,1,23,female
60,120,6000,6,White,12,12,12,1,1,yes,0,0,65,female
71,195,17000,17,White,12,12,12,8,7,yes,1,1,28,male
71,140,35000,35,White,12,NA,NA,1,2,yes,0,0,32,male
73,180,4000,4,White,13,13,13,6,6,no,0,0,18,male
64,115,5000,5,White,16,16,16,8,6,no,1,1,22,female
68,150,14000,14,White,14,14,14,4,1,no,0,0,55,female
66,118,10000,10,White,12,12,12,8,1,no,0,0,57,female
69,155,25000,25,White,16,16,16,2,6,no,4,4,29,male
63,126,0,0,White,8,NA,8,1,1,yes,0,0,63,female
70,130,87000,87,White,18,18,18,1,1,no,0,0,60,male
63,130,16000,16,White,14,14,14,4,6,no,0,0,27,female
66,123,0,0,Black,13,13,13,8,3,no,1,1,30,female
66,110,15000,15,White,12,12,12,5,2,no,2,2,33,female
64,200,0,0,White,12,NA,NA,4,1,no,3,3,26,female
62,130,16000,16,Hispanic,14,14,NA,1,1,no,0,0,28,male
66,190,25000,25,White,18,18,18,8,2,no,0,0,67,female
64,116,16500,16.5,White,14,14,14,8,7,no,5,5,43,female
68,170,15000,15,White,12,12,12,3,7,yes,0,0,73,male
64,190,4000,4,White,9,9,NA,2,1,no,0,0,68,female
67,342,3840,3.84,White,9,9,NA,5,1,no,0,0,52,female
60,90,5000,5,White,6,NA,NA,1,1,no,0,0,78,female
71,200,22000,22,White,12,12,12,1,6,no,0,0,39,male
60,135,200,0.2,White,16,16,16,8,1,no,3,3,53,female
66,140,26000,26,White,16,16,16,2,5,no,3,3,27,female
66,120,2500,2.5,White,15,15,15,1,1,no,2,2,21,female
65,125,17000,17,White,14,14,14,1,1,no,0,0,39,female
63,112,25000,25,White,16,16,16,4,5,no,0,0,35,female
70,130,8000,8,White,13,13,13,8,7,no,1,1,22,female
68,215,25000,25,White,12,NA,12,1,3,no,0,0,31,male
65,98,0,0,White,13,13,13,7,1,no,0,0,63,female
66,138,12000,12,White,13,13,13,4,1,yes,0,0,68,female
62,123,10000,10,White,12,12,12,8,6,yes,0,0,47,female
60,105,5000,5,White,8,8,8,7,1,no,0,0,77,female
76,220,100000,100,White,16,16,16,3,6,no,0,0,51,male
66,140,10000,10,White,15,15,15,8,1,yes,2,2,67,female
64,173,0,0,White,14,14,14,4,1,yes,0,0,38,female
72,185,15000,15,White,12,12,12,8,2,no,0,0,39,male
66,190,45000,45,Other,12,12,12,8,6,no,0,0,43,female
69,190,15000,15,Black,11,NA,NA,4,4,no,0,0,73,male
67,115,2400,2.4,Hispanic,8,8,8,8,4,yes,1,1,39,female
68,150,30000,30,Hispanic,12,12,12,4,6,no,2,2,32,male
70,150,30000,30,White,12,12,12,5,6,no,1,1,33,male
62,125,10000,10,White,12,12,12,6,4,no,5,5,38,female
63,137,5000,5,White,13,13,13,7,2,yes,0,0,26,female
66,125,12000,12,White,13,13,13,1,1,no,5,5,63,female
70,80,20000,20,White,10,10,10,2,1,no,0,0,61,female
68,160,20000,20,White,12,12,12,3,1,no,1,1,36,female
70,160,20000,20,White,14,14,14,8,7,no,0,0,23,male
65,125,25000,25,White,18,18,18,8,7,no,1,1,57,female
68,110,5000,5,White,8,NA,NA,1,4,no,0,0,82,female
66,133,0,0,White,12,12,12,3,1,no,4,4,59,female
71,180,25000,25,White,18,18,18,8,1,no,0,0,76,male
66,135,1200,1.2,White,12,12,12,7,7,no,2,2,20,female
62,130,5000,5,White,12,12,NA,6,4,no,0,0,69,female
68,120,700,0.7,White,16,16,16,4,5,no,0,0,32,female
70,150,20000,20,White,16,16,16,1,4,yes,0,0,27,male
61,110,10000,10,Hispanic,12,12,12,8,6,yes,0,0,22,female
63,128,30000,30,White,12,12,12,7,7,no,0,0,73,female
72,185,25000,25,Hispanic,8,NA,NA,8,1,no,0,0,63,male
64,200,40000,40,White,14,14,NA,8,7,no,0,0,56,female
67,155,25000,25,White,12,NA,NA,8,7,no,0,0,89,male
66,135,45000,45,White,18,18,18,5,2,no,0,0,65,female
61,130,10000,10,White,17,17,17,7,1,no,0,0,79,female
69,132,60000,60,White,18,18,18,8,1,no,0,0,63,female
62,103,45000,45,White,12,12,12,8,1,no,0,0,56,female
64,150,0,0,White,12,NA,NA,4,7,no,3,3,21,female
68,130,18000,18,White,12,12,12,7,1,yes,0,0,66,female
60,128,15000,15,White,12,NA,NA,4,5,no,5,5,74,female
71,155,50000,50,White,18,18,18,8,3,no,1,1,42,male
64,155,16040,16.04,White,12,NA,NA,8,1,no,3,3,33,female
67,140,15000,15,Black,14,14,14,8,1,yes,7,7,30,female
69,160,10000,10,White,17,17,NA,1,7,no,2,2,23,male
67,185,33000,33,White,13,13,13,2,1,no,0,0,43,female
68,130,18000,18,White,12,12,12,7,7,no,0,0,30,female
63,105,15000,15,White,12,12,12,7,1,no,7,7,37,female
71,145,21000,21,White,12,NA,12,4,7,no,0,0,22,male
64,124,21000,21,Black,17,17,17,3,1,no,0,0,43,female
68,170,37000,37,White,11,11,11,4,4,no,2,2,37,male
68,126,38000,38,White,17,17,17,7,6,no,2,2,44,female
66,142,17000,17,Hispanic,14,14,14,4,4,yes,0,0,43,female
66,130,0,0,White,12,12,12,4,3,yes,2,2,29,female
66,130,0,0,Other,16,16,16,8,2,no,0,0,32,female
60,100,15000,15,White,16,16,16,1,1,no,1,1,91,female
77,210,32000,32,White,16,16,16,1,7,no,1,1,30,male
67,160,27500,27.5,White,12,12,12,4,1,no,0,0,58,female
66,140,15000,15,White,12,NA,NA,8,1,yes,0,0,76,male
62,120,16500,16.5,White,12,12,12,8,1,yes,3,3,44,female
64,118,0,0,White,17,17,17,8,6,no,5,5,30,female
72,175,0,0,White,12,12,12,7,1,no,2,2,51,female
67,150,25000,25,White,18,18,18,7,5,no,1,1,35,female
61,116,27000,27,White,18,18,18,4,7,no,2,2,43,female
64,220,5000,5,White,12,NA,12,5,1,yes,7,7,28,female
62,125,70000,70,White,16,16,16,8,1,no,0,0,38,female
63,150,5000,5,White,12,12,12,4,5,no,2,2,40,female
68,135,5000,5,White,16,16,16,1,4,no,1,1,24,male
69,158,62000,62,Other,18,18,18,4,1,no,1,1,30,male
64,160,15000,15,Black,12,12,12,8,1,yes,0,0,59,female
64,158,20000,20,White,15,15,15,8,4,yes,0,0,26,female
72,185,4000,4,White,15,15,15,4,5,yes,2,2,21,male
72,172,75000,75,White,12,12,12,7,6,no,0,0,39,male
64,130,60000,60,White,16,16,16,5,1,no,2,2,35,female
61,150,5000,5,White,13,13,13,8,1,no,7,7,31,female
74,230,30000,30,White,12,12,12,7,4,yes,3,3,38,male
70,165,70000,70,White,14,14,14,5,4,yes,2,2,35,male
64,115,5000,5,White,16,16,16,8,1,no,0,0,60,female
71,195,50000,50,White,16,16,16,8,4,yes,0,0,41,male
63,120,44000,44,White,12,12,12,8,6,yes,0,0,39,female
73,215,40000,40,White,18,18,18,4,4,yes,0,0,40,male
64,133,30000,30,White,14,14,14,4,7,no,2,2,43,female
73,200,15000,15,Black,14,14,NA,8,7,no,2,2,24,male
63,150,35000,35,White,15,15,15,6,1,no,0,0,31,female
62,130,0,0,White,16,16,16,5,1,no,6,6,32,female
62,140,10000,10,White,16,16,16,3,1,no,7,7,40,female
70,170,23000,23,White,17,17,17,6,3,no,5,5,42,female
62,115,0,0,White,12,12,12,1,1,no,7,7,39,female
71,175,45000,45,White,17,17,17,6,1,no,0,0,62,male
71,170,15000,15,White,14,14,14,8,6,yes,0,0,31,male
70,169,4000,4,White,14,14,14,8,1,no,0,0,71,female
67,160,17000,17,White,14,14,14,1,6,no,0,0,31,male
64,130,30000,30,White,12,12,12,6,4,no,3,3,32,female
67,112,27500,27.5,White,12,12,12,3,3,yes,1,1,30,female
62,140,5688,5.688,White,8,8,NA,6,1,no,3,3,69,female
62,137,18000,18,Hispanic,13,13,13,6,1,no,0,0,56,female
67,170,35000,35,White,14,14,14,6,7,no,3,3,36,male
66,160,45000,45,White,17,17,17,8,1,no,0,0,32,female
68,185,43000,43,Black,13,13,13,7,1,no,7,7,44,male
62,140,32000,32,Black,14,14,14,6,2,no,1,1,44,female
62,118,25000,25,Black,12,12,NA,7,7,no,0,0,20,female
66,148,0,0,Black,5,5,NA,6,1,no,1,1,51,female
68,165,10000,10,Black,18,18,18,3,2,no,4,4,56,female
65,130,50000,50,Hispanic,12,12,12,8,1,no,1,1,38,female
74,160,15000,15,White,12,12,12,2,5,yes,3,3,20,male
74,185,60000,60,White,13,13,13,8,3,yes,0,0,45,male
71,175,30000,30,White,15,15,15,1,1,no,0,0,23,male
68,150,21000,21,Other,12,12,12,8,4,no,5,5,50,female
62,110,2400,2.4,White,16,16,16,3,4,no,7,7,22,female
68,240,5000,5,White,10,10,10,8,7,yes,0,0,50,female
62,150,35000,35,Black,15,15,15,2,1,no,2,2,42,female
66,136,1000,1,White,15,15,15,5,7,no,0,0,28,female
68,170,27000,27,White,12,12,12,8,1,yes,3,3,27,male
60,115,6600,6.6,Hispanic,14,14,14,8,6,yes,2,2,28,female
