taxpayers,tax
1409,750
719,451
793,413
1012,444
1160,481
780,270
869,230
698,205
643,181
481,285
317,304
527,225
496,171
478,170
465,135
494,126
532,105
548,101
522,97
578,95
594,86
608,125
625,124
411,122
425,107
448,101
472,91
431,82
432,74
381,69
378,61
436,59
310,109
294,111
283,108
266,95
246,100
299,86
309,86
306,74
284,67
300,63
294,56
289,53
287,45
284,37
249,39
252,44
235,40
230,38
231,34
231,32
209,28
259,55
265,62
255,65
249,62
247,59
235,62
231,58
237,61
220,61
212,60
192,72
170,78
235,85
249,79
219,146
198,181
390,36
170,10
181,15
173,19
164,20
168,27
178,29
188,30
193,34
185,37
191,41
192,45
175,44
178,50
157,50
150,38
173,31
163,32
164,34
202,37
209,42
206,43
212,45
212,44
